feature,gain,split
SeniorCitizen,4605.517381036281,64.4
tenure,73665.08403736353,2035.6
MonthlyCharges,25055.60788756609,3133.2
TotalCharges,38003.18451840877,3326.6
gender_Male,128.58002626895905,44.6
Partner_Yes,159.4996249318123,43.2
Dependents_Yes,3179.930520427227,62.6
PhoneService_Yes,379.9258815050125,44.2
PaperlessBilling_Yes,4812.506904888153,73.6
MultipleLines_No,3101.0385260462763,66.6
MultipleLines_No phone service,172.6344297647476,19.4
MultipleLines_Yes,652.9639355301857,41.8
InternetService_DSL,7743.365497529507,30.8
InternetService_Fiber optic,45204.569864952566,43.6
InternetService_No,297.40454823970794,26.6
OnlineSecurity_No,109246.04538639783,57.8
OnlineSecurity_No internet service,165.3516982793808,8.8
OnlineSecurity_Yes,146.80162348747254,30.8
OnlineBackup_No,491.17704685926435,36.6
OnlineBackup_No internet service,9.106720042228698,3.0
OnlineBackup_Yes,127.7224681854248,34.2
DeviceProtection_No,165.46184219121932,35.4
DeviceProtection_No internet service,2.7096740126609804,1.6
DeviceProtection_Yes,224.82907489538192,35.0
TechSupport_No,26677.837481927872,38.0
TechSupport_No internet service,0.6838240146636962,0.2
TechSupport_Yes,134.4201310157776,37.8
StreamingTV_No,3536.013708341122,36.0
StreamingTV_No internet service,0.5684979915618896,0.2
StreamingTV_Yes,2351.249288403988,35.0
StreamingMovies_No,671.2975927591324,29.8
StreamingMovies_No internet service,0.0,0.0
StreamingMovies_Yes,3584.2142876386642,40.0
Contract_Month-to-month,100604.91148811579,52.2
Contract_One year,7210.1186560630795,57.0
Contract_Two year,9902.733692598344,59.2
PaymentMethod_Bank transfer (automatic),1212.0662523388862,44.0
PaymentMethod_Credit card (automatic),1829.584056031704,51.0
PaymentMethod_Electronic check,48830.634032428265,51.8
PaymentMethod_Mailed check,3231.5439658284185,38.4
