feature,gain,split
gender,167.19203141927719,45.2
SeniorCitizen,15368.820848584175,94.4
Partner,237.60620210170745,37.4
Dependents,10637.977628481389,101.2
tenure,254374.4886876881,2355.2
PhoneService,1232.7867004513741,40.0
MultipleLines,11887.388848155737,226.0
InternetService,186959.64326008558,170.0
OnlineSecurity,134868.34892911316,112.8
OnlineBackup,5072.723799991608,98.8
DeviceProtection,5162.863774824143,118.6
TechSupport,33669.96554211378,90.2
StreamingTV,15005.940974116325,114.0
StreamingMovies,10892.195641338825,121.8
Contract,686135.2175636769,333.2
PaperlessBilling,26615.797868716716,105.0
PaymentMethod,258268.43564339876,322.2
MonthlyCharges,71704.58971648812,3149.2
TotalCharges,61174.637756466866,3781.6
TotalDiscount,12137.332675075531,2331.2
PriceRatio,9476.671794432401,2120.8
AverageMonthly,47012.08904314637,2548.4
