feature,gain,split
gender,232.78090366125107,69.4
SeniorCitizen,21236.42699306011,183.0
Partner,1612.8832450330258,72.0
Dependents,12173.413911432028,192.0
tenure,330358.87027543783,2137.6
PhoneService,2749.960543012619,66.4
MultipleLines,18337.40207810402,384.0
InternetService,201562.65438815355,239.6
OnlineSecurity,195311.05581171514,149.0
OnlineBackup,13055.728711211681,151.4
DeviceProtection,4512.1594885468485,169.8
TechSupport,66405.44977815748,124.2
StreamingTV,28173.63664316535,177.8
StreamingMovies,13642.425030630828,165.8
Contract,695321.0996615111,352.0
PaperlessBilling,31587.904705256224,220.4
PaymentMethod,430408.04526070354,333.8
MonthlyCharges,95186.95829416513,2310.8
TotalCharges,76813.31581658125,2791.0
TotalDiscount,19110.09165223837,1810.2
PriceRatio,9475.583047306538,1532.8
AverageMonthly,56480.10538436174,2001.8
