feature,gain,split
gender,212.7859132528305,51.4
SeniorCitizen,14192.757040596009,94.6
Partner,119.31159415245057,23.8
Dependents,10233.441975784302,88.8
tenure,133761.6180174887,1425.8
PhoneService,375.075350356102,16.2
MultipleLines,1604.0681290507316,83.0
InternetService,49326.760750162604,39.0
OnlineSecurity,14130.393870902062,28.2
OnlineBackup,71.74479596614837,12.6
DeviceProtection,46.88046419620514,8.8
TechSupport,496.1483940780163,6.8
StreamingTV,3547.0268562912943,26.8
StreamingMovies,752.9896616458893,30.0
Contract,98159.51619961261,62.0
PaperlessBilling,17477.17461966276,100.6
PaymentMethod,28751.236917591094,80.6
MonthlyCharges,21429.18155838847,1747.8
TotalCharges,53551.81351107359,2449.2
TotalDiscount,9586.244869250058,1811.4
PriceRatio,10135.80771393776,1766.4
AverageMonthly,43290.033504796025,1844.0
contract_x_payment,453906.4750103712,1069.2
contract_x_internet,677579.6442923605,237.4
service_profile,146094.368881917,3633.0
tenure_bin_x_contract,109334.40598981381,2297.8
