feature,gain,split
gender,131.0923531293869,34.6
SeniorCitizen,14474.29256683588,77.4
Partner,492.06869987249377,11.0
Dependents,9771.285185956955,81.6
tenure,144943.9842077136,789.4
PhoneService,574.0056920051575,13.6
MultipleLines,2590.1929334878923,92.4
InternetService,88598.5340350628,33.8
OnlineSecurity,19789.303240144254,30.6
OnlineBackup,60.822377383708954,10.2
DeviceProtection,90.50193481445312,3.2
TechSupport,2062.6416577577593,8.2
StreamingTV,9707.97181353569,43.6
StreamingMovies,1340.9946429371835,43.6
Contract,69977.31492747068,43.4
PaperlessBilling,15450.966432642937,87.2
PaymentMethod,97833.45714917182,52.4
MonthlyCharges,19275.80042065382,810.0
TotalCharges,54817.09961714745,1275.8
TotalDiscount,4416.270726656914,498.8
PriceRatio,6667.517434275151,552.4
AverageMonthly,27085.33651086092,663.8
contract_x_payment,419840.1327861071,311.8
contract_x_internet,546119.4609512329,156.8
service_profile,161613.1542465806,1033.6
tenure_bin_x_contract,132023.63117308618,614.2
