feature,gain,split
gender,176.10158791542054,42.6
SeniorCitizen,15177.8178027153,134.0
Partner,132.93455976843833,29.2
Dependents,11025.931021648645,103.2
tenure,138897.35560368598,1242.2
PhoneService,167.89098341464995,13.6
MultipleLines,1463.5802922427654,76.8
InternetService,49337.75196310282,42.4
OnlineSecurity,3385.5383382081986,35.8
OnlineBackup,56.56100074052811,15.6
DeviceProtection,82.9097676038742,18.0
TechSupport,64.30156890749932,17.0
StreamingTV,3404.508754444122,38.4
StreamingMovies,569.5021576285362,30.6
Contract,108472.6062923491,58.6
PaperlessBilling,17320.690846538542,123.2
PaymentMethod,19830.340900361538,126.4
MonthlyCharges,20810.3540397495,1320.2
TotalCharges,51449.12005414367,2241.6
TotalDiscount,5314.181570744515,1174.6
PriceRatio,6539.0331612885,1352.6
AverageMonthly,44108.11636720896,1549.0
contract_x_payment,493263.2086948395,1224.8
contract_x_internet,771515.7789207578,349.4
service_profile,167512.5414385617,3056.0
tenure_bin_x_contract,115410.93034491836,2384.2
