feature,gain,split
gender,764.1445896267891,182.2
SeniorCitizen,42517.38034119606,888.8
Partner,1639.8172446012497,195.0
Dependents,27032.956777131556,1076.4
tenure,431689.81721292733,9950.6
PhoneService,5334.715671789646,155.6
MultipleLines,28368.305603718756,1024.2
InternetService,224782.29358142614,319.6
OnlineSecurity,28310.821423864363,528.2
OnlineBackup,2874.053158712387,150.0
DeviceProtection,1238.145969069004,114.4
TechSupport,6597.015621387958,264.2
StreamingTV,29372.119467842578,567.8
StreamingMovies,20878.99777956009,498.4
Contract,268166.25251133443,330.0
PaperlessBilling,41995.13460422754,1157.0
PaymentMethod,105823.63164770603,213.4
MonthlyCharges,155211.98564010859,14782.0
TotalCharges,252668.57693556548,18127.2
TotalDiscount,60477.196518027784,9672.8
PriceRatio,60031.757977175715,9371.2
AverageMonthly,133264.0859643221,11424.8
contract_x_payment,1223845.4400341033,929.2
contract_x_internet,1863679.0706260563,292.6
service_profile,463789.1798410058,3293.4
tenure_bin_x_contract,258920.0501301408,1840.4
