feature,gain,split
gender,135.35260418653488,43.0
SeniorCitizen,12400.662320756912,118.6
Partner,489.67605687379836,47.4
Dependents,7954.292192053795,121.0
tenure,161196.51997795104,2408.4
PhoneService,2572.722842490673,47.2
MultipleLines,10255.30525187254,229.6
InternetService,82346.94727250337,71.6
OnlineSecurity,44757.68787428141,118.2
OnlineBackup,6982.157934832573,113.2
DeviceProtection,1946.6673341751098,93.4
TechSupport,6846.84777816534,97.0
StreamingTV,13451.567357838154,119.2
StreamingMovies,6071.614136612416,109.0
Contract,122816.32228027582,71.0
PaperlessBilling,14871.229095256329,127.2
PaymentMethod,23960.747511792182,101.8
MonthlyCharges,42896.45241675377,3324.4
TotalCharges,57364.1723682642,4144.6
AverageMonthly,57250.44096558094,3002.2
contract_x_payment,642092.5395750642,779.8
contract_x_internet,270159.1429490924,310.4
