feature,gain,split
gender,233.48077149391173,68.2
SeniorCitizen,16347.294436168671,144.2
Partner,401.2944652557373,83.2
Dependents,11573.770000213384,127.2
tenure,146314.79102487265,2246.6
PhoneService,887.7105440020562,62.6
MultipleLines,12080.503471371532,303.2
InternetService,47570.00746676922,93.2
OnlineSecurity,55108.45598874092,148.6
OnlineBackup,2252.5726927757264,121.6
DeviceProtection,1532.6020330011845,161.8
TechSupport,10353.232410684228,125.8
StreamingTV,12195.078342992067,169.4
StreamingMovies,9464.85453645587,156.2
Contract,95273.58887840211,87.2
PaperlessBilling,17635.392972815036,151.4
PaymentMethod,58515.87470443845,185.6
MonthlyCharges,39958.0690692842,2575.4
TotalCharges,109790.67241734266,3551.0
TotalDiscount,7008.765000784397,1600.8
PriceRatio,8269.668364593386,1806.8
AverageMonthly,52708.75325470567,2123.0
contract_x_payment,411252.6596889764,1299.6
contract_x_internet,872502.9417616308,611.8
