feature,gain,split
gender,27.595765340328217,10.0
SeniorCitizen,18.559000372886658,4.2
Partner,141.84074925780297,30.8
Dependents,227.80674514770507,34.2
tenure,7795.742735085636,372.2
PhoneService,28.48916393518448,6.2
MultipleLines,242.47084957435726,31.4
InternetService,6869.741177268326,11.8
OnlineSecurity,134.32827990055085,26.0
OnlineBackup,92.90820973515511,20.6
DeviceProtection,139.1306218981743,26.8
TechSupport,104.60288715362549,22.0
StreamingTV,54.5837216258049,11.6
StreamingMovies,61.19458398707211,13.2
Contract,60.97329258918762,8.6
PaperlessBilling,448.9883440852165,37.0
PaymentMethod,3259.5432947993277,14.2
MonthlyCharges,2554.5931865341963,367.6
TotalCharges,15192.402595627307,600.0
AverageMonthly,1246.4443712015636,201.2
contract_x_payment,1454.5679337143897,113.8
contract_x_internet,103261.20899329186,71.6
oof_tabpfn,418062.1516995568,203.2
oof_tabicl,630461.5958286893,187.6
oof_realmlp,435334.43948905764,245.6
oof_tabm,437545.6143804921,247.0
oof_rf,1238801.918993379,456.0
oof_lr,55849.926276454025,139.8
