feature,gain,split
gender,118.84269829471596,39.6
SeniorCitizen,273.2867073327303,55.8
Partner,228.28719646185635,79.0
Dependents,201.12407934069634,54.2
tenure,5615.374437900842,786.8
PhoneService,117.95974880456924,23.8
MultipleLines,455.40382193885745,87.8
InternetService,120.38876588344574,16.4
OnlineSecurity,243.25475596785546,60.0
OnlineBackup,198.56007867394948,54.8
DeviceProtection,162.30551105737686,48.8
TechSupport,210.93994638286532,50.4
StreamingTV,162.84243570566179,39.6
StreamingMovies,137.64000146239997,40.0
Contract,96.48780495524406,19.0
PaperlessBilling,207.7792312176898,36.2
PaymentMethod,211.46403948366643,53.2
MonthlyCharges,4348.735019907237,902.0
TotalCharges,11920.629154743543,1373.0
AverageMonthly,3234.0164959754156,788.2
contract_x_payment,2005.892101227108,451.0
contract_x_internet,940.1909194815904,114.0
oof_tabpfn,1407711.2909459688,1092.2
oof_tabicl,898917.9206178307,875.4
oof_realmlp,659796.2118555639,1167.4
oof_tabm,562176.2922612835,1048.6
oof_rf,275030.40729120444,951.4
oof_lr,30806.722083238525,714.8
