feature,gain,split
gender,330.2401351011358,101.8
SeniorCitizen,23500.756526890396,142.6
Partner,457.6658571720589,118.2
Dependents,16013.987096933834,202.4
tenure,282083.307961201,2140.6
PhoneService,2745.7685335759074,82.0
MultipleLines,17049.24563531242,326.6
InternetService,35400.91908879578,47.6
OnlineSecurity,34219.283904176904,224.8
OnlineBackup,2339.295570222149,165.4
DeviceProtection,1612.101265419824,202.6
TechSupport,7241.188683819174,160.0
StreamingTV,19249.056767400725,233.2
StreamingMovies,13707.27976676002,199.2
Contract,35137.02652073912,54.2
PaperlessBilling,24147.125260822475,230.6
PaymentMethod,95369.5833140534,174.6
MonthlyCharges,34309.54140755071,2732.0
TotalCharges,120528.92725869904,3440.2
AverageMonthly,75062.2375295083,2688.6
contract_x_payment,267317.1410676419,1152.2
contract_x_internet,2192641.066148133,555.2
tabpfn_f0,1896.9782753395848,267.2
tabpfn_f1,1183.4197170548373,220.2
tabpfn_f2,1659.138136769255,227.0
tabpfn_f3,2160.393870883202,227.6
tabpfn_f4,814.7255851640817,184.4
tabicl_f0,2954.5497470814325,281.6
tabicl_f1,2275.7557570355866,233.6
tabicl_f2,2591.9385499650866,262.8
tabicl_f3,2425.2464351332465,255.0
tabicl_f4,2379.901301051257,244.4
realmlp_f0,2629.8850737077482,327.4
realmlp_f1,1376.7635947330896,304.0
realmlp_f2,1082.1192969150113,247.8
realmlp_f3,1310.833470580188,247.2
realmlp_f4,1312.820254423897,254.0
tabm_f0,1102.2193630684517,293.2
tabm_f1,1816.780251483815,306.2
tabm_f2,1753.2714434705472,339.2
tabm_f3,1623.1132809500864,338.6
tabm_f4,2258.818556943098,344.8
rf_f0,11675.762158644993,609.0
rf_f1,12458.46677688593,521.6
rf_f2,11137.1350306443,592.6
rf_f3,11755.14226566421,577.2
rf_f4,11820.718929603938,637.6
lr_f0,1275.8272922584554,400.6
lr_f1,1228.5531067189586,371.6
lr_f2,1221.7927310520026,372.4
lr_f3,1101.2034479492504,320.8
lr_f4,1082.9063907287268,343.6
