feature,gain,split
gender,253.97472652536817,63.0
SeniorCitizen,24940.99301580489,98.8
Partner,549.7923526078463,109.2
Dependents,18071.71106736362,134.2
tenure,320331.1982001755,1869.8
PhoneService,1208.8998328864575,68.0
MultipleLines,17652.37729132548,234.4
InternetService,9844.322926455736,30.4
OnlineSecurity,47246.377627594586,131.4
OnlineBackup,2132.0072834923863,110.2
DeviceProtection,1611.5251448065508,155.8
TechSupport,6818.187985838577,125.6
StreamingTV,19684.741973786055,161.2
StreamingMovies,15293.236722537415,148.4
Contract,18494.745213105343,55.4
PaperlessBilling,29928.47259978666,141.8
PaymentMethod,40404.31554949825,115.0
MonthlyCharges,47939.72598933613,2094.0
TotalCharges,98961.08180335377,2827.4
AverageMonthly,82759.68002133584,1888.4
contract_x_payment,508622.89966369607,943.6
contract_x_internet,4156799.8779307776,548.0
tabpfn_f0,425620.0152924494,348.0
tabpfn_f1,421575.4545549147,266.6
tabpfn_f2,457806.1430830637,288.4
tabpfn_f3,475775.27356325585,323.6
tabpfn_f4,491985.8288406983,292.4
tabicl_f0,37802.48327287543,371.2
tabicl_f1,147858.59815687226,235.4
tabicl_f2,50498.09181283557,349.2
tabicl_f3,15371.18073367327,312.2
tabicl_f4,13900.819118113175,282.4
realmlp_f0,158496.94585750723,416.4
realmlp_f1,85965.98655282587,319.6
realmlp_f2,122547.76351258889,291.8
realmlp_f3,180224.2747883747,407.8
realmlp_f4,119863.17924474567,412.2
tabm_f0,105928.5431238752,356.0
tabm_f1,88773.50191391798,372.0
tabm_f2,92278.92459786215,344.2
tabm_f3,65213.44187415523,443.6
tabm_f4,91595.09174864959,408.8
rf_f0,40517.60485365647,658.8
rf_f1,44624.625655551245,696.0
rf_f2,50591.69114228324,697.6
rf_f3,50880.881193635214,772.0
rf_f4,43984.22615878447,712.4
lr_f0,12250.348846344676,379.0
lr_f1,6515.563382853097,376.2
lr_f2,5234.536883249334,403.2
lr_f3,11533.002402777785,346.8
lr_f4,10150.917763973232,366.4
