feature,gain,split
gender,1240.9825819730759,202.8
SeniorCitizen,52939.32947194576,732.8
Partner,1708.1753321170806,167.6
Dependents,35204.65185782909,631.6
tenure,543902.0147037506,8887.6
PhoneService,4708.4332813739775,180.8
MultipleLines,25966.169568300247,643.4
InternetService,190226.26686997415,366.4
OnlineSecurity,28759.55635164976,339.0
OnlineBackup,2125.2426097631455,88.0
DeviceProtection,811.1128983974456,103.0
TechSupport,3745.5547496199606,200.4
StreamingTV,33781.17431676388,343.4
StreamingMovies,20655.222788393497,271.2
Contract,303986.32744607923,737.6
PaperlessBilling,57317.81218189001,709.8
PaymentMethod,128713.16102381944,198.6
MonthlyCharges,175833.09453008175,10001.2
TotalCharges,314105.8596301794,14019.6
TotalDiscount,76174.3232845068,9715.8
PriceRatio,73691.23203246594,9867.2
AverageMonthly,213316.78837733268,10444.4
contract_x_payment,1259981.702737081,1298.8
contract_x_internet,2344751.789671707,397.0
service_profile,811647.7036976457,7064.2
tenure_bin_x_contract,210705.11083590984,3218.2
