feature,gain,split
gender,329.0710787221789,162.4
SeniorCitizen,31852.36235574335,226.8
Partner,2562.5590303331614,255.2
Dependents,21175.17271538973,242.8
tenure,363415.9732589737,7069.0
PhoneService,3322.537627711892,108.0
MultipleLines,27326.010886062682,490.6
InternetService,213896.4092726767,148.0
OnlineSecurity,201466.33700409828,245.6
OnlineBackup,22459.36740872711,248.4
DeviceProtection,3117.072223584354,296.4
TechSupport,30941.029569691418,203.0
StreamingTV,28673.486557377873,340.4
StreamingMovies,21587.375261950492,370.4
Contract,361710.9202363476,122.4
PaperlessBilling,38551.27683219463,211.0
PaymentMethod,97758.63929206431,329.2
MonthlyCharges,89752.25720728934,9236.2
TotalCharges,190989.72036162316,10969.4
AverageMonthly,134457.31998512597,8966.0
contract_x_payment,1192594.3355516389,3099.2
contract_x_internet,864807.7015942574,1388.0
